k,Query Count,Scikit,KnnGL
1,20,0.1601539630210027,0.07097154599614441
1,100,0.16995941402274184,0.1474994290038012
1,500,0.20003148398245685,0.47103785298531875
1,1000,0.22069364198250696,0.8342714059981517
1,5000,0.3530013190174941,10.70454472998972
1,16000,0.6969666949880775,99.15777619398432
3,20,0.18159359399578534,0.07973506199778058
3,100,0.16663669698755257,0.157190626981901
3,500,0.19549535401165485,0.5563843089912552
3,1000,0.21272331499494612,1.0923728400084656
3,5000,0.3474509149964433,11.962187799013918
3,16000,0.7186407900007907,102.97703940598876
5,20,0.18018551901332103,0.09894722999888472
5,100,0.17674255699967034,0.19162739600869827
5,500,0.19756333201075904,0.6945197079912759
5,1000,0.2178590859984979,1.344230309012346
5,5000,0.359344822994899,13.136916025017854
5,16000,0.7402037989813834,106.89229263801826
