k,Query Count,Scikit,KnnGL
1,10,0.6660206920350902,0.34307698596967384
1,20,0.6567493689944968,0.38869231700664386
1,50,0.6636092750122771,0.7657862429623492
1,100,0.6809981020051055,1.391409806034062
1,250,0.7196312139858492,3.306055249995552
1,500,0.7898147770320065,6.454035784990992
3,10,0.6551659990218468,0.2640078749973327
3,20,0.6580428380402736,0.3879952900460921
3,50,0.6679441190208308,0.7810981149668805
3,100,0.6807199790491723,1.4016409600153565
3,250,0.7226076659862883,3.2984244230319746
3,500,0.7941687690326944,6.573090894031338
5,10,0.6627053080010228,0.27988621999975294
5,20,0.6556295339833014,0.40708667400758713
5,50,0.6641227749641985,0.7735377760254778
5,100,0.686631916963961,1.3941788629745133
5,250,0.7239921359578148,3.4227102009463124
5,500,0.8027034569531679,7.1241835709661245
